kitchen tool,house tool,fruit vegetable,animal
fruit,tool,kitchen,animal
fruit,tool,vegetable,animal insect
cutlery,other thing,plant,animal
stationery,food,tool,animal
fruit,vegetable,tool,animal
thing,fruit,vegetable,animal
cutlery,other,edible,bird insect
tool,animal,flying,edible
animal,tool,insect,edible
manufactured,animal,vegetable,fruit
good feeling,thing,animal,fruit vegetable
a rainy day me painting,house group,zoo,fruit vegetable
insect,thing,animal,fruit vegetable
tool,vegetable,fruit,animal insect
non-kitchen,living,edible,kitchen tool
living,plant,thing,kitchen tool
vegetable,fruit,thing,living
fruit,vegetable,tool,living
life,nothing,animal,love
alive,fragrant,cold,mirage
alive,fruit,bad,necessary
four-legged,thing,growth,non-four-legged
vegetable,fruit,living,non-living
excellent ,medium ,tolerance,ordinary
animal,fruit,tool,other
fruit,edible,perceivable,practical
fruit,kitchen tool,animal,thing
fruit,vegetable,animal,thing
fruit,animal,edible,thing
edible,animal,money,thing
fruit,animal,tool,thing
food,animal,with wings,thing
animal,fruit,vegetable,thing tool
edible,animal,insect,tool
living,insect,edible,tool
animal,edible,insect,tool
kitchen tool,edible,living,tool
animal,fruit,unnecessary tool,usless
animal,thing,fruit,vegetable
