closed,open
positive,negative
good,bad
positive,negative
good ,bad
negative,positive
a-m,n-z
general,emotion
human,general
law,destiny
chance,destiny
definition,action
human,spiritual
conceptual,factual
object,concept
natural,belief
internal,quantity
difficulty,redemption
fear,belief
catalogue,kindness
emotion,description
emotion,negative
bible,features
positive,negative
act,effort
human,supernatural
positive,negative
kingdom,pain
well-being,physical
pleasant,unpleasant
good,bad
spiritual,human
cause,consequence
success,failure
positive,negative
positive,negative
abstract,tangible
positive,negative
material,spiritual
positive,negative
