new,process,tract,place
confusion,difficulty,good,warm
confusion,success,complication,good
religion,relation,bad,capitalism
live,money,problem,positive
description,positive,negative,reason
situations,feeling,noun,circle
religion,other,experience,quantity
emotion,abstract,place,action
accessory,tract,belief,choice
help,trial,obsession,good
emotion,name,description,action
idea,feeling,general,human
relation,feeling,circumstance,religion
psychology,object,moral,other
result,spiritual,exposition,emotion
emotion,place,internal,quantity
positive,luck,construction,negative
fear,detail,belief,relation
false,true,ego,human
description,act,emotion,animal
money,time,emotion,fate
bible,new,disease,neighbor
negative,spiritual,addresses,positive
mistakes,behavior,ability,way
emotion,reason,spiritual,quantity
emotion,negative,process,spiritual
wage,loss,formula,way
sympathy,faith,fear,product
great,pleasant,unpleasant,terrible
hostility,negative,religion,positive
life,materiality,difficulty,other
good,bad,emotion,situation
negative,positive,place,future
good,bad,quantity,process
emotion,religion,negative,quantity
positive,negative,quantity,purpose
care,place,human,afterlife
exciting,trivial,neutral,sucks
positive,place,negative,quantity
