animal,disgusting,vegetable,object
vitamine,useful,animal,object
object,growth,animal,flying
fruit,tool,vegetable,animal
tool,object,animal,food
object,food,animal,tool
insect,animal,object,growth
mammal,growth,object,wings
useful,animal,edible,kitchen
living,eating,object,food
studies,living,object,animal
object,vegetable,living,fruit
fruit,home,living,salad
animal,object,vegetable,fruit
fruit,vegetable,living,object
accessory,vegetable,fruit,animal
object,animal,food,meat
animal,tool,insect,growth
growth,tool,living,object
travel,growth,animal,object
food,animal,stuff,kitchen
growth,animal,home,kitchen
vegetable,animal,fruit,still
object,yuck,plant,animal
pet,animal,object,fruit
growth,kitchen,room,animal
tool,animal,food,seminary
drawers,home,animal,plant
egg,mammal,growth,object
amusing,nice,word,powerful
animal,object,cutlery,food
accessory,clean,food,animal
living,growth,teeth,hand
brush,animal,growth,still
tool,animal,fruit,vegetable
animal,growth,kitchen,still
alive,still,growth,tool
still,growth,home,living
transportation,craftsmanship,blackmail,efficient
animal,flying,tool,growth
