animal,health,disgusting,kitchen,object,lighting
fruit,writing,animal,vegetable,tool,long
tool,object,flying,animal,sticks,growth
writing,tool,eating,animal,vegetable,fruit
kitchen,warehouse,bedroom,food,animal,outside
clean,kitchen,fruit,living,object,growth
insect,goods,mushroom,animal,nature,growth
fruit,object,pet,wild animal,kitchen,vegetable
vegetable,fruit,useful,kitchen,animal,mushroom
living,fruit,object,vegetable,writing,eating
vegetable,fruit,animal,object,clean,study
disgusting,vegetable,meat,pet,fruit,object
object,animal,fruit,reign,ugly,vegetable
city,mean,forest,clean,desert,food
livestock,yuck,vegetable,home,object,fruit
mammal,accessory,vegetable,fruit,bird,insect
growth,animal,meat,tool,object,reign
animal,earth,climber,tool,tree,kitchen
vegetable,mammal,tool,fruit,animal,object
meal,boring,travel,home,deep,livestock
animal,growth,fruit,stuff,house,tool
living,growth,houseware,home,bottle,noun
animal,vegetable,room,fruit,water,kitchen
sweet,animal,vegetable,home,object,yuck
object,fruit,meat,cute,still,cutlery
kitchen,flying,vegetable,fruit,room,living
dental,food,animal,vegetable,home,tool
assignment,comfort,nature,patent,vitamin,animal
object,insect,mushroom,friend,fruit,trapped
amusing,fun,careful,word,nice,sweeper
mold,clean,cutlery,animal,object,growth
clean,accessory,cutlery,light,food,animal
living,growth,clean,sharp,protecting,water
dome,animal,growth,innocence,essential,tool
tool,fruit,kitchen,animal,insect,vegetable
animal,fruit,vegetable,accessory,clean,kitchenware
fruit,vegetable,still,animal,tool,clean
food,living,accessory,writing,clean,hair
edible,contain,necessary,luxury,domesticated,primordial
kingdom,flying,tool,animal,fruit,vegetable
