confusion,complex
object,living
physical,tract
concrete,abstract
dangerous,food
good,bad
m-z,a-l
concept,real
abstract,object
creation,existence
law,firendship
description,name
object,living
abstract,organism
abstract,object
human,tangible
object,living
physical,spiritual
materials,abstract
scheme,freedom
description,animal
noun,emotion
home,features
features,noun
animal,period
home,mind
emotion,beginning
emotion,patent
materiality,natural
pleasant,unpleasant
abstract,other
life,mean
abstract,amorphous
positive,negative
tangible,abstract
positive,negative
tangible,abstract
tangible,spiritual
physical,abstract
tangible,abstract
