negative situation,positive situation
abstract,concrete
positive negative emotion,objective
pro,cons
planning,fall
useful,useless
feeling,concrete
life,death
descriptive,word
road,perception
useful,useless
relation,materialistic
feeling,other
grey,green
soul,futile
positive,negative
principle,feeling
realization,defeat
rational,emotion
abstract,concrete
emotion,non-emotion
realtionship,concrete
personal,universal
rational,emotion
abstract,concrete
abstract,concrete
interesting,uninteresting
positive,negative
neutral positive,negative
comfort,out
A to M,N to Z
positive,negative
way of being,abstract
bible,human story
quantifiable defined,non-quantifiable non-defined
emotion,non-emotion
state characteristic,rational
inner,outer
no,yes
concrete,abstract
