four-legged,flying animal,fruit,big object,small object,mushroom,vegetable,EMPTY,EMPTY,EMPTY
four-legged,house object,fruit,vegetable,kitchen object,non-four-legged,object for art or writing,object for the rain,EMPTY,EMPTY
animal,killing,eating,painting,covers,shed light,food,clean,EMPTY,EMPTY
cute,drawing,lunch,good,intolerant,useless,useful,insignificant,overvalued,EMPTY
relaxing,warm,disagio,uncomfortable,daily,safety,unknown,responsibility,EMPTY,EMPTY
in every home,smoothie,art,pasture,kitchen object,children whishes,switch on your brain,annoyance,trade goods,EMPTY
animal,fruit,food,house object,kitchen object,drawing,EMPTY,EMPTY,EMPTY,EMPTY
animal,kitchen,fruit,painters,vegetable,clean,object,mold,EMPTY,EMPTY
four-legged,flying animal,art,object,vegetable,fruit,kitchen,EMPTY,EMPTY,EMPTY
object,animal,drawing,vegetable,fruit,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
open,closed,cover,discover,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit vegetable,animal,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
food,object,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
food,animal,home,silence,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
earth,animal,ello,thing,fruit,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
living,dead,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
art,parashut,games,drugs,life,useful,kitchen,fruit,healthy,EMPTY
object,animal,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
kitchen,animal,study,house object,fruit,vegetable,EMPTY,EMPTY,EMPTY,EMPTY
lights,cutterly,drawing,pasture animal,animal,vegetable,fruit,object with an handle,animal with wings,drinking
object,table,animal,rhymes,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,table,spare time,home,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit,animal,object,vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
flying,four-legged,fruit,vegetable,studying,table,useful object,EMPTY,EMPTY,EMPTY
object,kitchen object,food,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
cattle,vegetable,mammal,flying,fruit,tool,mushroom,object,art,fragile
beautiful object,tool,animal,food,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
house object,vegetable,table,flying,woods,personal object,animal,fruit,drawing,farm
pet,animal,kitchen object,desk object,vegetable,fruit,insect,house object,EMPTY,EMPTY
jumps,wrinkle,smooth,fur,protect me,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,food,object,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
vegetable,glasses,rain,lunch,clean,four-legged,fear,allergy,non-edible,creative
animal with wings,animal,mushroom,object,vegetable,fruit,cutterly,EMPTY,EMPTY,EMPTY
tool,tropic,farmer,useful,fruit vegetable,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,fruit vegetable,thing,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
warm colours,wine,neutral,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
fruit,drawing,ingridients,exotic,pet,table,living room,EMPTY,EMPTY,EMPTY
tool,vegetable,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
childhood object,van gogh,home,market,animal,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY
animal,vegetable,fruit,home,painting,object,EMPTY,EMPTY,EMPTY,EMPTY
